,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-06,2.2083330154418945,2.3125,2.1875,2.25,2.25,1243200,AMZN,-8.748855,2.3177080154418945,0.0,-0.06770801544189453
1997-08-07,2.25,2.2604169845581055,2.125,2.1770830154418945,2.1770830154418945,2034000,AMZN,-8.921314,2.375,0.0,-0.19791698455810547
1997-08-18,2.0520830154418945,2.0520830154418945,1.96875,2.0416669845581055,2.0416669845581055,1784400,AMZN,-9.788497,3.239583015441895,0.0,-1.1979160308837895
1997-08-19,2.09375,2.2083330154418945,2.0520830154418945,2.1666669845581055,2.1666669845581055,1003200,AMZN,-9.870554,3.3020830154418945,0.0,-1.135416030883789
1997-08-21,2.1354169845581055,2.171875,2.0729169845581055,2.1145830154418945,2.1145830154418945,624000,AMZN,-10.025806,3.6875000000000004,0.0,-1.572916984558106
1997-09-05,2.5833330154418945,2.6666669845581055,2.4583330154418945,2.5,2.5,1908000,AMZN,-10.105702,4.1666669845581055,0.0,-1.6666669845581055
1997-09-08,2.53125,3.0208330154418945,2.5,3.0,3.0,5648400,AMZN,-9.969608,4.0416669845581055,0.0,-1.0416669845581055
1997-09-10,3.3125,3.328125,3.125,3.3020830154418945,3.3020830154418945,3866400,AMZN,-9.4417305,4.0208330154418945,0.0,-0.71875
1997-09-12,3.1875,3.6979169845581055,3.15625,3.6875,3.6875,3333600,AMZN,-9.037761,4.015625,0.0,-0.328125
1997-09-15,3.6666669845581055,3.6770830154418945,3.0520830154418945,3.09375,3.09375,5583600,AMZN,-8.836848,4.125,0.0,-1.03125
1997-09-17,3.4583330154418945,3.5,3.3333330154418945,3.40625,3.40625,2607600,AMZN,-8.462343,4.0052080154418945,0.0,-0.5989580154418945
1997-09-22,4.0,4.6770830154418945,3.9479169845581055,4.5,4.5,16938000,AMZN,-7.6226087,4.0,0.0,0.5
1997-09-29,4.1458330154418945,4.1875,3.9583330154418945,4.0416669845581055,4.0416669845581055,2371200,AMZN,-6.2545795,3.822916984558105,0.0,0.21875000000000044
1997-10-06,4.0,4.125,3.9427080154418945,4.125,4.125,2028000,AMZN,-6.09335,4.2708330154418945,0.0,-0.14583301544189453
1997-10-17,3.6145830154418945,3.65625,3.5208330154418945,3.625,3.625,2534400,AMZN,-7.0228744,4.4791669845581055,0.0,-0.8541669845581055
1997-10-21,3.9583330154418945,4.4375,3.8541669845581055,4.4270830154418945,4.4270830154418945,12096000,AMZN,-7.048798,3.9479169845581055,0.0,0.47916603088378906
1997-10-31,5.3645830154418945,5.4583330154418945,4.96875,5.0833330154418945,5.0833330154418945,5026800,AMZN,-5.625153,4.4895830154418945,0.0,0.59375
1997-11-05,4.9791669845581055,5.1197919845581055,4.875,4.875,4.875,3093600,AMZN,-5.3768277,4.2604169845581055,0.0,0.6145830154418945
1997-11-07,4.4166669845581055,4.640625,4.3854169845581055,4.4791669845581055,4.4791669845581055,2626800,AMZN,-5.358926,4.2708330154418945,0.0,0.20833396911621094
1997-11-17,4.2291669845581055,4.5416669845581055,4.21875,4.375,4.375,7394400,AMZN,-5.8704224,4.6875,0.0,-0.3125
1997-11-18,4.375,4.4791669845581055,4.34375,4.4166669845581055,4.4166669845581055,1866000,AMZN,-5.9683614,4.5104169845581055,0.0,-0.09375
1997-11-20,4.5729169845581055,4.6041669845581055,4.5104169845581055,4.5833330154418945,4.5833330154418945,5923200,AMZN,-6.1015196,4.5416669845581055,0.0,0.04166603088378906
1997-12-04,4.4010419845581055,4.5520830154418945,4.3854169845581055,4.5,4.5,3038400,AMZN,-6.7586327,4.5208330154418945,0.0,-0.02083301544189453
1997-12-12,4.6458330154418945,4.8020830154418945,4.40625,4.5416669845581055,4.5416669845581055,2672400,AMZN,-6.8239503,4.8385419845581055,0.0,-0.296875
1997-12-16,4.6458330154418945,4.6458330154418945,4.4583330154418945,4.4583330154418945,4.4583330154418945,1687200,AMZN,-6.935559,4.6145830154418945,0.0,-0.15625
1997-12-18,4.3541669845581055,4.4270830154418945,4.2291669845581055,4.2916669845581055,4.2916669845581055,3204000,AMZN,-6.9729977,4.3020830154418945,0.0,-0.010416030883789062
1997-12-26,4.5625,4.6458330154418945,4.4895830154418945,4.5208330154418945,4.5208330154418945,487200,AMZN,-7.0194983,4.953125,0.0,-0.43229198455810547
1998-01-08,4.6979169845581055,4.703125,4.53125,4.6145830154418945,4.6145830154418945,6015600,AMZN,-6.4908047,4.9166669845581055,0.0,-0.30208396911621094
1998-01-21,4.9375,5.1666669845581055,4.875,5.0729169845581055,5.0729169845581055,8738400,AMZN,-5.8188148,5.2916669845581055,0.0,-0.21875
1998-01-27,4.8177080154418945,4.8645830154418945,4.6666669845581055,4.75,4.75,4104000,AMZN,-5.088789,5.0729169845581055,0.0,-0.32291698455810547
1998-02-18,5.1458330154418945,5.1458330154418945,5.0520830154418945,5.0729169845581055,5.0729169845581055,2971200,AMZN,-4.845564,6.6354169845581055,0.0,-1.5625
1998-02-20,5.2291669845581055,5.2916669845581055,5.1145830154418945,5.2708330154418945,5.2708330154418945,2703600,AMZN,-5.001883,6.5572919845581055,0.0,-1.286458969116211
1998-02-23,5.2916669845581055,5.4166669845581055,5.2083330154418945,5.40625,5.40625,3978000,AMZN,-5.041786,6.5833330154418945,0.0,-1.1770830154418945
1998-02-25,5.46875,5.5416669845581055,5.2604169845581055,5.4895830154418945,5.4895830154418945,6745200,AMZN,-4.717144,7.109375,0.0,-1.6197919845581055
1998-03-02,6.3229169845581055,6.4375,6.25,6.3541669845581055,6.3541669845581055,10957200,AMZN,-3.3742347,6.984375,0.0,-0.6302080154418945
1998-03-10,7.125,7.3541669845581055,6.90625,6.925780773162842,6.925780773162842,24750000,AMZN,-1.4759673,7.127604007720947,0.0,-0.20182323455810547
1998-03-16,6.6302080154418945,6.7291669845581055,6.5833330154418945,6.5833330154418945,6.5833330154418945,3312000,AMZN,-0.44971865,7.3854169845581055,0.0,-0.8020839691162109
1998-03-20,7.0,7.0729169845581055,6.9270830154418945,7.0,7.0,6412800,AMZN,0.030099725,7.859375,0.0,-0.859375
1998-03-26,6.8125,6.9791669845581055,6.625,6.8958330154418945,6.8958330154418945,7878000,AMZN,0.0035561423,7.90625,0.0,-1.0104169845581055
1998-04-01,7.1041669845581055,7.53125,7.002604007720947,7.5104169845581055,7.5104169845581055,14451600,AMZN,-0.29709563,6.75,0.0,0.7604169845581055
1998-04-09,7.6979169845581055,8.0,7.6354169845581055,7.9375,7.9375,16034400,AMZN,0.28030732,7.874999999999999,0.0,0.06250000000000089
1998-04-15,8.166666984558105,8.333333015441895,7.875,8.010416984558105,8.010416984558105,11192400,AMZN,0.831652,7.53125,0.0,0.47916698455810547
1998-04-16,8.010416984558105,8.276041984558105,7.765625,8.208333015441895,8.208333015441895,16244400,AMZN,1.0996654,7.5833330154418945,0.0,0.625
1998-04-23,7.25,7.25,6.7083330154418945,6.75,6.75,12253200,AMZN,1.3208034,7.6302080154418945,0.0,-0.8802080154418945
1998-05-05,7.8333330154418945,7.9583330154418945,7.7604169845581055,7.809895992279053,7.809895992279053,5998800,AMZN,4.1540136,7.218749999999999,0.0,0.5911459922790536
1998-05-06,7.8333330154418945,7.8333330154418945,7.5104169845581055,7.53125,7.53125,7438800,AMZN,3.9249465,7.1614580154418945,0.0,0.36979198455810547
1998-05-07,7.5833330154418945,7.75,7.3541669845581055,7.5833330154418945,7.5833330154418945,13887600,AMZN,3.914927,7.34375,0.0,0.23958301544189453
1998-05-15,7.65625,7.7083330154418945,7.4583330154418945,7.46875,7.46875,4628400,AMZN,3.8973327,7.7083330154418945,0.0,-0.23958301544189453
1998-05-20,7.53125,7.625,7.3541669845581055,7.3854169845581055,7.3854169845581055,4048800,AMZN,2.6614246,10.416666984558105,0.0,-3.03125
1998-05-29,7.15625,7.4166669845581055,7.125,7.34375,7.34375,8641200,AMZN,0.800139,12.635416984558105,0.0,-5.2916669845581055
1998-06-02,7.2708330154418945,7.4166669845581055,6.9166669845581055,7.28125,7.28125,8201400,AMZN,0.18054435,15.447916984558105,0.0,-8.166666984558105
1998-06-05,7.2916669845581055,7.3958330154418945,7.1875,7.375,7.375,3427200,AMZN,-0.6445058,15.708333015441895,0.0,-8.333333015441895
1998-06-08,7.3020830154418945,7.71875,7.25,7.7083330154418945,7.7083330154418945,5463000,AMZN,-0.8075942,16.458332061767578,0.0,-8.749999046325684
1998-06-12,10.583333015441895,10.583333015441895,9.708333015441895,10.166666984558105,10.166666984558105,21655800,AMZN,2.081568,23.25,0.0,-13.083333015441895
1998-06-18,13.5,13.75,11.958333015441895,12.020833015441895,12.020833015441895,31639800,AMZN,7.6856174,16.583332061767578,0.0,-4.562499046325684
1998-07-02,19.291667938232422,20.916667938232422,18.75,20.666667938232422,20.666667938232422,52279800,AMZN,22.813055,20.708332061767578,0.04166412353515625,0.0
1998-07-24,21.541667938232422,21.916667938232422,19.5,20.708332061767578,20.708332061767578,28974000,AMZN,29.276382,20.458332061767578,-0.25,0.0
1998-08-07,18.541667938232422,19.8125,18.229167938232422,19.333332061767578,19.333332061767578,23433000,AMZN,22.26376,17.6484375,-1.6848945617675781,0.0
1998-08-13,21.770832061767578,22.5,21.166667938232422,21.25,21.25,24629400,AMZN,22.335764,14.3125,-6.9375,0.0
1998-08-20,21.041667938232422,21.625,20.916667938232422,21.520832061767578,21.520832061767578,15886200,AMZN,22.000607,12.677083015441895,-8.843749046325684,0.0
1998-08-21,21.208332061767578,21.713542938232422,20.541667938232422,21.614582061767578,21.614582061767578,15136200,AMZN,21.858597,12.28125,-9.333332061767578,0.0
1998-09-17,13.40625,13.916666984558105,12.75,12.833333015441895,12.833333015441895,42457800,AMZN,16.88795,14.364583015441895,1.53125,0.0
1998-09-24,17.854167938232422,19.479167938232422,16.916667938232422,17.020832061767578,17.020832061767578,51124200,AMZN,19.611897,16.177082061767578,-0.84375,0.0
1998-10-09,15.041666984558105,15.3125,13.958333015441895,15.197916984558105,15.197916984558105,20727000,AMZN,24.68466,21.072917938232422,5.875000953674316,0.0
1998-10-12,16.1875,16.833332061767578,15.5,15.53125,15.53125,21817200,AMZN,24.076494,21.833332061767578,6.302082061767578,0.0
1998-10-14,15.177083015441895,16.270832061767578,14.958333015441895,15.583333015441895,15.583333015441895,15590400,AMZN,22.385807,21.635417938232422,6.052084922790527,0.0
1998-10-15,15.708333015441895,16.3125,15.416666984558105,16.177082061767578,16.177082061767578,16971000,AMZN,21.710157,21.416667938232422,5.239585876464844,0.0
1998-10-30,21.104167938232422,21.635417938232422,20.770832061767578,21.072917938232422,21.072917938232422,21182400,AMZN,21.229559,30.104167938232422,9.03125,0.0
1998-11-23,31.8125,36.41666793823242,31.010417938232422,36.33333206176758,36.33333206176758,67781400,AMZN,31.863773,40.45833206176758,0.0,-4.125
1998-11-25,36.08333206176758,37.25,34.16666793823242,35.05208206176758,35.05208206176758,27522600,AMZN,38.755093,46.125,11.072917938232422,0.0
1998-12-01,30.916667938232422,34.95833206176758,30.333332061767578,34.91666793823242,34.91666793823242,47154600,AMZN,42.419144,53.72916793823242,18.8125,0.0
1998-12-02,34.48958206176758,34.58333206176758,32.92708206176758,33.25,33.25,29649000,AMZN,43.28088,54.16666793823242,20.916667938232422,0.0
1998-12-08,31.604167938232422,34.3125,31.416667938232422,34.01041793823242,34.01041793823242,25549800,AMZN,43.08447,53.54166793823242,19.53125,0.0
1998-12-10,36.27083206176758,37.33333206176758,34.9375,35.52083206176758,35.52083206176758,30361800,AMZN,44.259323,59.15625,23.635417938232422,0.0
1998-12-11,35.01041793823242,37.33333206176758,35.0,37.16666793823242,37.16666793823242,25467600,AMZN,44.691395,62.24999999999999,25.08333206176757,0.0
1998-12-17,44.0,48.58333206176758,43.42708206176758,46.125,46.125,67635000,AMZN,52.372143,92.3125,46.1875,0.0
1999-01-05,54.78125,64.875,53.25,62.25,62.25,62873200,AMZN,67.40683,62.8125,0.5625,0.0
1999-01-22,49.75,62.9375,49.375,61.5,61.5,43765800,AMZN,80.02651,52.25,-9.25,0.0
1999-01-25,60.75,61.6875,55.0,56.1875,56.1875,27323800,AMZN,77.22777,49.3125,-6.875,0.0
1999-01-28,63.21875,64.375,60.125,61.4375,61.4375,23750600,AMZN,72.21201,50.9375,-10.5,0.0
1999-01-29,60.8125,60.8125,57.5,58.46875,58.46875,16396000,AMZN,71.06295,53.25,-5.21875,0.0
1999-02-02,58.1875,58.21875,54.25,55.125,55.125,13048600,AMZN,68.29941,55.46875,0.34375,0.0
1999-02-08,57.1875,57.5625,52.875,54.5625,54.5625,12598200,AMZN,64.42512,60.65625,6.09375,0.0
1999-02-10,49.125,51.6875,47.5,48.71875,48.71875,13205000,AMZN,60.894238,60.06249999999999,11.343749999999993,0.0
1999-02-12,54.0,54.9375,51.8125,52.25,52.25,7765400,AMZN,57.54036,61.09375,8.84375,0.0
1999-02-23,55.0625,58.5,54.75,57.59375,57.59375,21139200,AMZN,50.829605,66.90625,0.0,-9.3125
1999-02-26,63.375,65.0,60.5,64.0625,64.0625,25365400,AMZN,55.341022,67.53125,0.0,-3.46875
1999-03-10,68.375,69.46875,67.0,68.5625,68.5625,14117600,AMZN,63.861694,86.09375,0.0,-17.53125
1999-03-18,66.4375,70.0,66.1875,69.21875,69.21875,12300200,AMZN,67.284325,91.4375,0.0,-22.21875
1999-03-19,70.9375,71.53125,67.5,67.53125,67.53125,10725200,AMZN,67.51029,92.21875,0.0,-24.6875
